Fecha;Cod. Trn.;Descripcion Movimiento;Referencia;Debito;Credito;Imp. GMF;Oficina;
02/11/2010;252;DEPOSITO AHORROS;0;;12,875.00;;TUMACO;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
02/11/2010;252;DEPOSITO AHORROS;0;;52,000.00;;FLORIDA-VALLE;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;FLORIDA-VALLE;
02/11/2010;252;DEPOSITO AHORROS;0;;25,750.00;;TUMACO;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
02/11/2010;252;DEPOSITO AHORROS;0;;25,000.00;;TUMACO;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
02/11/2010;252;DEPOSITO AHORROS;0;;6,875.00;;TUMACO;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
02/11/2010;252;DEPOSITO AHORROS;0;;213,198.33;;CAUCASIA;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;CAUCASIA;
02/11/2010;252;DEPOSITO AHORROS;0;;6,867.00;;TUMACO;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
02/11/2010;252;DEPOSITO AHORROS;0;;6,800.00;;TUMACO;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
02/11/2010;252;DEPOSITO AHORROS;0;;6,800.00;;TUMACO;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
02/11/2010;252;DEPOSITO AHORROS;0;;53,100.00;;TUMACO;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
02/11/2010;252;DEPOSITO AHORROS;0;;24,850.00;;TUMACO;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
02/11/2010;221;INTERESES DE AHORROS;0;;1,608.00;;AVENIDA CHILE;
03/11/2010;252;DEPOSITO AHORROS;0;;80,328.00;;SAN LUIS (ANTIOQUIA);
03/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;SAN LUIS (ANTIOQUIA);
03/11/2010;252;DEPOSITO AHORROS;0;;12,875.00;;TUMACO;
03/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
03/11/2010;252;DEPOSITO AHORROS;0;;89,949.00;;FRONTINO;
03/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;FRONTINO;
03/11/2010;252;DEPOSITO AHORROS;0;;14,109.00;;TUMACO;
03/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
03/11/2010;252;DEPOSITO AHORROS;0;;14,155.00;;TUMACO;
03/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
03/11/2010;252;DEPOSITO AHORROS;0;;27,785.00;;CAJIBIO;
03/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;CAJIBIO;
03/11/2010;252;DEPOSITO AHORROS;0;;27,775.00;;TUMACO;
03/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
03/11/2010;252;DEPOSITO AHORROS;0;;25,750.00;;TUMACO;
03/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
03/11/2010;221;INTERESES DE AHORROS;0;;1,619.00;;AVENIDA CHILE;
04/11/2010;252;DEPOSITO AHORROS;0;;6,867.00;;TUMACO;
04/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
04/11/2010;252;DEPOSITO AHORROS;0;;12,875.00;;TUMACO;
04/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
04/11/2010;252;DEPOSITO AHORROS;0;;12,875.00;;TUMACO;
04/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
04/11/2010;252;DEPOSITO AHORROS;0;;6,867.00;;TUMACO;
04/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
04/11/2010;252;DEPOSITO AHORROS;0;;12,425.00;;TUMACO;
04/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
04/11/2010;252;DEPOSITO AHORROS;0;;12,875.00;;TUMACO;
04/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
04/11/2010;252;DEPOSITO AHORROS;0;;12,425.00;;TUMACO;
04/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
04/11/2010;252;DEPOSITO AHORROS;0;;25,750.00;;TUMACO;
04/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
04/11/2010;252;DEPOSITO AHORROS;0;;6,626.00;;TUMACO;
04/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
04/11/2010;252;DEPOSITO AHORROS;0;;25,750.00;;TUMACO;
04/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
04/11/2010;221;INTERESES DE AHORROS;0;;1,625.00;;AVENIDA CHILE;
05/11/2010;252;DEPOSITO AHORROS;0;;6,867.00;;TUMACO;
05/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
05/11/2010;252;DEPOSITO AHORROS;0;;10,381.00;;TUMACO;
05/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
05/11/2010;252;DEPOSITO AHORROS;0;;25,750.00;;TUMACO;
05/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
05/11/2010;252;DEPOSITO AHORROS;0;;6,867.00;;TUMACO;
05/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
05/11/2010;252;DEPOSITO AHORROS;0;;55,754.00;;TUMACO;
05/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
05/11/2010;252;DEPOSITO AHORROS;0;;125,000.00;;PUERTO ASIS;
05/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;PUERTO ASIS;
05/11/2010;252;DEPOSITO AHORROS;0;;782,883.00;;PUERTO ASIS;
05/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;PUERTO ASIS;
05/11/2010;252;DEPOSITO AHORROS;0;;6,867.00;;TUMACO;
05/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
05/11/2010;253;NC INTERNET TRANSFERENCIAS ENTRE TERCEROS INTERNET;217;;113,040.00;0.00;INTERNET BANCA VIRTUAL;
05/11/2010;252;DEPOSITO AHORROS;0;;12,875.00;;TUMACO;
05/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
05/11/2010;252;DEPOSITO AHORROS;0;;12,875.00;;TUMACO;
05/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
05/11/2010;252;DEPOSITO AHORROS;0;;26,000.00;;FLORIDA-VALLE;
05/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;FLORIDA-VALLE;
05/11/2010;252;DEPOSITO AHORROS;0;;12,750.00;;TUMACO;
05/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
