Cuenta Nro. 86042058  Movimiento Desde el 01-DEC-10 Al 31-DEC-10
Fecha de aplicacion,Fecha de transaccion,Descripcion,documento,Origen,Valor Total,Valor Efectivo,Valor Cheque,D- Debito C- Credito,Codigo de Transaccion
20101201,20101130,NOTA CREDITO RECAUDOS,8900004643,SAO EL BOSQUE,506773,506773,0,C,RCI
20101201,20101130,NOTA CREDITO RECAUDOS,8900004643,SAO EL BOSQUE,525396,525396,0,C,RCI
20101201,20101130,NOTA CREDITO RECAUDOS,8918010698,TUNJA,512034,0,512034,C,RCI
20101201,20101130,NOTA CREDITO RECAUDOS,8918008461,TUNJA,3856353,0,3856353,C,RCI
20101201,20101201,NC TRANSF AUTOMATICA,76,NOVD.AUTOM.SISTE,150615,150615,0,C,NTS
20101201,20101201,NC TRANSF AUTOMATICA,100,NOVD.AUTOM.SISTE,59628.15,59628.15,0,C,NTS
20101201,20101201,NC TRANSF AUTOMATICA,111,NOVD.AUTOM.SISTE,134955,134955,0,C,NTS
20101201,20101201,NOTA CREDITO RECAUDOS,8907020270,EL ESPINAL,6371174.3,6371174.3,0,C,RCI
20101201,20101201,NOTA CREDITO RECAUDOS,8909052111,CENTRO PAGOS MED,9160408,0,9160408,C,RCI
20101201,20101201,NOTA CREDITO RECAUDOS,8909052111,CENTRO PAGOS MED,8325147,0,8325147,C,RCI
20101201,20101201,COMISION SERVICIO RECAUDO,0,PRINC BOGOTA,3500,3500,0,D,CSV
20101201,20101201,NOTA DEBITO I.V.A.,0,PRINC BOGOTA,560,560,0,D,IVA
20101202,20101202,NC TRANSF AUTOMATICA,18,NOVD.AUTOM.SISTE,514291.5,514291.5,0,C,NTS
20101202,20101202,NC TRANSF AUTOMATICA,19,NOVD.AUTOM.SISTE,115875,115875,0,C,NTS
20101202,20101202,NC TRANSF AUTOMATICA,30,NOVD.AUTOM.SISTE,115875,115875,0,C,NTS
20101202,20101202,NC TRANSF AUTOMATICA,37,NOVD.AUTOM.SISTE,111802.5,111802.5,0,C,NTS
20101202,20101202,NC TRANSF AUTOMATICA,54,NOVD.AUTOM.SISTE,131370.3,131370.3,0,C,NTS
20101202,20101202,NOTA CREDITO RECAUDOS,8909052111,CENTRO PAGOS MED,1596329,0,1596329,C,RCI
20101202,20101202,NOTA CREDITO RECAUDOS,8909052111,CENTRO PAGOS MED,10679820,0,10679820,C,RCI
20101202,20101202,NOTA CREDITO RECAUDOS,8909052111,CENTRO PAGOS MED,10003613,0,10003613,C,RCI
20101202,20101202,COMISION SERVICIO RECAUDO,0,PRINC BOGOTA,1500,1500,0,D,CSV
20101202,20101202,NOTA DEBITO I.V.A.,0,PRINC BOGOTA,240,240,0,D,IVA
20101203,20101203,NC TRANSF AUTOMATICA,5,NOVD.AUTOM.SISTE,118215,118215,0,C,NTS
20101203,20101203,NC TRANSF AUTOMATICA,15,NOVD.AUTOM.SISTE,119283.75,119283.75,0,C,NTS
20101203,20101203,NC TRANSF AUTOMATICA,24,NOVD.AUTOM.SISTE,244492.2,244492.2,0,C,NTS
20101203,20101203,NC TRANSF AUTOMATICA,44,NOVD.AUTOM.SISTE,7665,7665,0,C,NTS
20101203,20101203,NC TRANS ACH REF 8909817320,807150,NOVD.AUTOM.SISTE,478949,478949,0,C,NTA
20101203,20101203,NOTA CREDITO RECAUDOS,8160005588,LAGO URIBE,20987013,0,20987013,C,RCI
20101203,20101203,COMISION SERVICIO RECAUDO,0,PRINC BOGOTA,500,500,0,D,CSV
20101203,20101203,NOTA DEBITO I.V.A.,0,PRINC BOGOTA,80,80,0,D,IVA
20101206,20101206,NC TRANSF AUTOMATICA,86,NOVD.AUTOM.SISTE,26940,26940,0,C,NTS
20101206,20101206,NC TRANSF AUTOMATICA,32,NOVD.AUTOM.SISTE,115875,115875,0,C,NTS
20101206,20101206,NC TRANSF AUTOMATICA,91,NOVD.AUTOM.SISTE,346005,346005,0,C,NTS
20101207,20101207,NC TRANSF AUTOMATICA,21,NOVD.AUTOM.SISTE,132328.35,132328.35,0,C,NTS
20101207,20101207,NC TRANSF AUTOMATICA,49,NOVD.AUTOM.SISTE,251831.25,251831.25,0,C,NTS
20101207,20101207,NC TRANS ACH REF 8902041091,811826,NOVD.AUTOM.SISTE,23943594,23943594,0,C,NTA
20101207,20101207,NOTA CREDITO RECAUDOS,8909807824,ITAGUI,7015202,0,7015202,C,RCI
20101207,20101207,NOTA CREDITO RECAUDOS,8909052111,CENTRO PAGOS MED,7662513,0,7662513,C,RCI
20101207,20101207,NOTA CREDITO RECAUDOS,8909052111,CENTRO PAGOS MED,13687813,0,13687813,C,RCI
20101207,20101207,NOTA CREDITO RECAUDOS,8909052111,CENTRO PAGOS MED,7300421,0,7300421,C,RCI
20101207,20101207,NOTA CREDITO RECAUDOS,8909052111,CENTRO PAGOS MED,10004932,0,10004932,C,RCI
20101207,20101207,COMISION SERVICIO RECAUDO,0,PRINC BOGOTA,2500,2500,0,D,CSV
20101207,20101207,NOTA DEBITO I.V.A.,0,PRINC BOGOTA,400,400,0,D,IVA
20101209,20101207,NOTA CREDITO RECAUDOS,8919011093,CARTAGO,75303,75303,0,C,RCI
20101209,20101209,NC TRANSF AUTOMATICA,31,NOVD.AUTOM.SISTE,223605,223605,0,C,NTS
20101209,20101209,NC TRANS ACH REF 8002134871,812874,NOVD.AUTOM.SISTE,14696338,14696338,0,C,NTA
20101209,20101209,ND TRANF ACH 008110367922,143206,INTERNET,25000000,25000000,0,D,TAA
20101209,20101209,ND TRANF ACH 008110367922,143209,INTERNET,25000000,25000000,0,D,TAA
20101209,20101209,ND TRANF ACH 008110367922,143211,INTERNET,25000000,25000000,0,D,TAA
20101209,20101209,ND TRANF ACH 008110367922,143222,INTERNET,25000000,25000000,0,D,TAA
20101209,20101209,ND TRANF ACH 008110367922,143223,INTERNET,3672064.6,3672064.6,0,D,TAA
20101209,20101209,ND TRANF ACH 008110398884,143243,INTERNET,25000000,25000000,0,D,TAA
20101209,20101209,ND TRANF ACH 008110398884,143247,INTERNET,25000000,25000000,0,D,TAA
20101209,20101209,ND TRANF ACH 008110398884,143248,INTERNET,23427117.4,23427117.4,0,D,TAA
20101209,20101209,ND TRANF ACH 008110398884,143249,INTERNET,11296479.6,11296479.6,0,D,TAA
20101209,20101209,ND TRANF ACH 008300904861,143265,INTERNET,14664504.99,14664504.99,0,D,TAA
20101209,20101209,ND TRANF ACH 008110398884,143266,INTERNET,1198080.07,1198080.07,0,D,TAA
20101209,20101209,ND TRANF ACH 008110398884,143267,INTERNET,184320.08,184320.08,0,D,TAA
20101209,20101209,COMISION SERVICIO ACH,0,PRINC BOGOTA,2753,2753,0,D,CSA
20101209,20101209,COMISION SERVICIO ACH,0,PRINC BOGOTA,2753,2753,0,D,CSA
20101209,20101209,COMISION SERVICIO ACH,0,PRINC BOGOTA,2753,2753,0,D,CSA
20101209,20101209,COMISION SERVICIO ACH,0,PRINC BOGOTA,2753,2753,0,D,CSA
20101209,20101209,COMISION SERVICIO ACH,0,PRINC BOGOTA,2753,2753,0,D,CSA
20101209,20101209,COMISION SERVICIO ACH,0,PRINC BOGOTA,2753,2753,0,D,CSA
20101209,20101209,COMISION SERVICIO ACH,0,PRINC BOGOTA,2753,2753,0,D,CSA
20101209,20101209,COMISION SERVICIO ACH,0,PRINC BOGOTA,2753,2753,0,D,CSA
20101209,20101209,COMISION SERVICIO ACH,0,PRINC BOGOTA,2753,2753,0,D,CSA
20101209,20101209,COMISION SERVICIO ACH,0,PRINC BOGOTA,2753,2753,0,D,CSA
20101209,20101209,COMISION SERVICIO ACH,0,PRINC BOGOTA,2753,2753,0,D,CSA
20101209,20101209,COMISION SERVICIO ACH,0,PRINC BOGOTA,2753,2753,0,D,CSA
20101209,20101209,ND TRANSF. AVALNET,581655,INTERNET,15949548.4,15949548.4,0,D,TDI
20101209,20101209,ND TRANSF. AVALNET,583242,INTERNET,72488658.45,72488658.45,0,D,TDI
20101209,20101209,ND TRANSF. AVALNET,587593,INTERNET,23561981.95,23561981.95,0,D,TDI
20101209,20101209,ND TRANSF. AVALNET,595868,INTERNET,3624920.3,3624920.3,0,D,TDI
20101209,20101209,ND TRANSF. AVALNET,598092,INTERNET,11152101.3,11152101.3,0,D,TDI
20101209,20101209,ND TRANSF. AVALNET,599354,INTERNET,105057624,105057624,0,D,TDI
20101209,20101209,ND TRANSF. AVALNET,606663,INTERNET,2136085.32,2136085.32,0,D,TDI
20101209,20101209,ND TRANSF. AVALNET,607530,INTERNET,1198080.47,1198080.47,0,D,TDI
20101209,20101209,ND TRANSF. AVALNET,610068,INTERNET,894136.67,894136.67,0,D,TDI
20101209,20101209,NOTA CREDITO RECAUDOS,8900013395,ARMENIA,36744,0,36744,C,RCI
20101209,20101209,COMISION SERVICIO RECAUDO,0,PRINC BOGOTA,1000,1000,0,D,CSV
20101209,20101209,NOTA DEBITO I.V.A.,0,PRINC BOGOTA,5440,5440,0,D,IVA
