"IDMUNICIPIO";"VALOR_TOTAL";"INDTIPO";"VIGENCIA";"ORIGEN";"CUENTA_RECAUDO";"IDBANCO";"NOM_BANCO";"FEC_TRAN";"FEC_CORTE";"NOMMUNICIPIO"
"68307000";"395039.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"14/02/2014";"28/02/2014";"GIRON";
"68307000";"531766.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"13/02/2014";"28/02/2014";"GIRON";
"68307000";"462446.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"12/02/2014";"28/02/2014";"GIRON";
"68307000";"703293.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"07/02/2014";"28/02/2014";"GIRON";
"68307000";"574090.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"06/02/2014";"28/02/2014";"GIRON";
"68679000";"762922.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"06/02/2014";"28/02/2014";"SAN GIL";
"68307000";"559664.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"05/02/2014";"28/02/2014";"GIRON";
"68307000";"699613.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"03/02/2014";"28/02/2014";"GIRON";
"68307000";"683899.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"21/02/2014";"28/02/2014";"GIRON";
"68307000";"582705.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"10/02/2014";"28/02/2014";"GIRON";
"68307000";"655172.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"11/02/2014";"28/02/2014";"GIRON";
"27361000";"84000.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"06/02/2014";"28/02/2014";"ISTMINA";
"27361000";"220085.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"28/02/2014";"28/02/2014";"ISTMINA";
"68432000";"4601090.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"27/02/2014";"28/02/2014";"MALAGA";
"27361000";"84000.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"25/02/2014";"28/02/2014";"ISTMINA";
"27361000";"77550.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"21/02/2014";"28/02/2014";"ISTMINA";
"68307000";"141600.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"20/02/2014";"28/02/2014";"GIRON";
"68307000";"141600.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"17/02/2014";"28/02/2014";"GIRON";
"27361000";"84700.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"13/02/2014";"28/02/2014";"ISTMINA";
"68307000";"161000.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"12/02/2014";"28/02/2014";"GIRON";
"68307000";"56200.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"10/02/2014";"28/02/2014";"GIRON";
"68307000";"604026.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"27/02/2014";"28/02/2014";"GIRON";
"68307000";"619066.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"05/02/2014";"28/02/2014";"GIRON";
"68307000";"637585.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"28/02/2014";"28/02/2014";"GIRON";
"68432000";"897539.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"27/02/2014";"28/02/2014";"MALAGA";
