Banco;Cuenta;TipoRec;Fecha Corte;Fecha Trn;ValorTotal;Divipo;%;ot
52;;SIMIT;2004-06-01;2004-06-01;132949303,00;05001000;10;Medellin
52;;SIMIT;2004-07-01;2004-07-01;57290132,00;05001000;10;Medellin
52;;SIMIT;2004-09-22;2004-09-22;67527873,00;05001000;10;Medellin
52;;SIMIT;2004-12-03;2004-12-03;213093860,00;05001000;10;Medellin
52;;SIMIT;2004-12-17;2004-12-17;426670888,00;05001000;10;Medellin
52;;SIMIT;2005-02-10;2005-02-10;72419087,00;05001000;10;Medellin
52;;SIMIT;2005-02-28;2005-02-28;71434942,00;05001000;10;Medellin
52;;SIMIT;2005-03-14;2005-03-14;87982742,00;05001000;10;Medellin
52;;SIMIT;2005-04-20;2005-04-20;102992225,00;05001000;10;Medellin
52;;SIMIT;2005-05-20;2005-05-20;111221650,00;05001000;10;Medellin
52;;SIMIT;2005-06-21;2005-06-21;100114168,00;05001000;10;Medellin
52;;SIMIT;2005-07-25;2005-07-25;108175571,00;05001000;10;Medellin
52;;SIMIT;2005-08-18;2005-08-18;94671107,00;05001000;10;Medellin
52;;SIMIT;2005-09-16;2005-09-16;94513246,00;05001000;10;Medellin
52;;SIMIT;2005-10-20;2005-10-20;88739810,00;05001000;10;Medellin
52;;SIMIT;2005-11-18;2005-11-18;79974287,00;05001000;10;Medellin
52;;SIMIT;2005-12-12;2005-12-12;81030886,00;05001000;10;Medellin
52;;SIMIT;2006-01-31;2006-01-31;80418714,00;05001000;10;Medellin
52;;SIMIT;2006-02-23;2006-02-23;81048939,00;05001000;10;Medellin
52;;SIMIT;2006-03-22;2006-03-22;85038148,00;05001000;10;Medellin
52;;SIMIT;2006-05-19;2006-05-19;85476522,00;05001000;10;Medellin
52;;SIMIT;2006-06-08;2006-06-08;62472705,00;05001000;10;Medellin
52;;SIMIT;2006-07-06;2006-07-06;80733096,00;05001000;10;Medellin
52;;SIMIT;2006-08-10;2006-08-10;83329497,00;05001000;10;Medellin
52;;SIMIT;2006-08-22;2006-08-22;553245,00;05001000;10;Medellin
52;;SIMIT;2006-08-22;2006-08-22;4288017,00;05001000;10;Medellin
52;;SIMIT;2006-08-22;2006-08-22;4324632,00;05001000;10;Medellin
52;;SIMIT;2006-08-22;2006-08-22;4508981,00;05001000;10;Medellin
52;;SIMIT;2006-08-22;2006-08-22;4541774,00;05001000;10;Medellin
52;;SIMIT;2006-08-22;2006-08-22;4925098,00;05001000;10;Medellin
52;;SIMIT;2006-08-22;2006-08-22;5643959,00;05001000;10;Medellin
52;;SIMIT;2006-09-06;2006-09-06;208129,00;05001000;10;Medellin
52;;SIMIT;2006-09-06;2006-09-06;552577,00;05001000;10;Medellin
52;;SIMIT;2006-09-06;2006-09-06;1202598,00;05001000;10;Medellin
52;;SIMIT;2006-09-06;2006-09-06;2869217,00;05001000;10;Medellin
52;;SIMIT;2006-09-06;2006-09-06;3285052,00;05001000;10;Medellin
52;;SIMIT;2006-09-06;2006-09-06;3950758,00;05001000;10;Medellin
52;;SIMIT;2006-09-06;2006-09-06;4084054,00;05001000;10;Medellin
52;;SIMIT;2006-09-06;2006-09-06;4167431,00;05001000;10;Medellin
52;;SIMIT;2006-09-06;2006-09-06;4271581,00;05001000;10;Medellin
52;;SIMIT;2006-09-06;2006-09-06;4339419,00;05001000;10;Medellin
52;;SIMIT;2006-09-06;2006-09-06;4429195,00;05001000;10;Medellin
52;;SIMIT;2006-09-06;2006-09-06;4434134,00;05001000;10;Medellin
52;;SIMIT;2006-09-06;2006-09-06;4558168,00;05001000;10;Medellin
52;;SIMIT;2006-09-06;2006-09-06;6150690,00;05001000;10;Medellin
52;;SIMIT;2006-09-06;2006-09-06;82993028,00;05001000;10;Medellin
52;;SIMIT;2006-09-15;2006-09-15;4639774,00;05001000;10;Medellin
52;;SIMIT;2006-09-22;2006-09-22;145738,00;05001000;10;Medellin
52;;SIMIT;2006-09-22;2006-09-22;242190,00;05001000;10;Medellin
52;;SIMIT;2006-09-22;2006-09-22;3417614,00;05001000;10;Medellin
52;;SIMIT;2006-09-22;2006-09-22;3579307,00;05001000;10;Medellin
52;;SIMIT;2006-09-22;2006-09-22;3623824,00;05001000;10;Medellin
52;;SIMIT;2006-09-22;2006-09-22;3631715,00;05001000;10;Medellin
52;;SIMIT;2006-09-22;2006-09-22;3785761,00;05001000;10;Medellin
52;;SIMIT;2006-09-22;2006-09-22;3882138,00;05001000;10;Medellin
52;;SIMIT;2006-09-22;2006-09-22;4106443,00;05001000;10;Medellin
52;;SIMIT;2006-09-22;2006-09-22;4190866,00;05001000;10;Medellin
52;;SIMIT;2006-09-22;2006-09-22;4274689,00;05001000;10;Medellin
52;;SIMIT;2006-10-09;2006-10-09;266360,00;05001000;10;Medellin
52;;SIMIT;2006-10-09;2006-10-09;277513,00;05001000;10;Medellin
52;;SIMIT;2006-10-09;2006-10-09;2997070,00;05001000;10;Medellin
52;;SIMIT;2006-10-09;2006-10-09;3021907,00;05001000;10;Medellin
52;;SIMIT;2006-10-09;2006-10-09;3141513,00;05001000;10;Medellin
52;;SIMIT;2006-10-09;2006-10-09;3877443,00;05001000;10;Medellin
52;;SIMIT;2006-10-09;2006-10-09;4076616,00;05001000;10;Medellin
52;;SIMIT;2006-10-09;2006-10-09;4137796,00;05001000;10;Medellin
52;;SIMIT;2006-10-09;2006-10-09;4171435,00;05001000;10;Medellin
52;;SIMIT;2006-10-09;2006-10-09;4270332,00;05001000;10;Medellin
52;;SIMIT;2006-10-09;2006-10-09;4477253,00;05001000;10;Medellin
52;;SIMIT;2006-10-09;2006-10-09;4833364,00;05001000;10;Medellin
52;;SIMIT;2006-10-09;2006-10-09;5131062,00;05001000;10;Medellin
52;;SIMIT;2006-10-19;2006-10-19;174117,00;05001000;10;Medellin
52;;SIMIT;2006-10-19;2006-10-19;197056,00;05001000;10;Medellin
52;;SIMIT;2006-10-19;2006-10-19;3387392,00;05001000;10;Medellin
52;;SIMIT;2006-10-19;2006-10-19;3925758,00;05001000;10;Medellin
52;;SIMIT;2006-10-19;2006-10-19;3955710,00;05001000;10;Medellin
52;;SIMIT;2006-10-19;2006-10-19;3961455,00;05001000;10;Medellin
52;;SIMIT;2006-10-19;2006-10-19;4087202,00;05001000;10;Medellin
52;;SIMIT;2006-10-19;2006-10-19;4286649,00;05001000;10;Medellin
52;;SIMIT;2006-10-19;2006-10-19;4375755,00;05001000;10;Medellin
52;;SIMIT;2006-10-19;2006-10-19;4540584,00;05001000;10;Medellin
52;;SIMIT;2006-10-19;2006-10-19;5165687,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;138513,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;286046,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;3636016,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;3649712,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;3793617,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;4199319,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;4349997,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;4400520,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;4523992,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;4595990,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;4610952,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;4679210,00;05001000;10;Medellin
